pozo_id,x_m,y_m,profundidad_m,unidad_sintetica,as_ug_l,muestra_aleatoria_50,muestra_preferencial_50
S0001,17893.5,64280.5,41.5,Pampeano profundo,11.08,False,False
S0002,63991.3,7718.9,57.9,Arenas Puelches,7.01,False,False
S0003,46726.8,56179.9,51.7,Pampeano profundo,23.97,False,False
S0004,37050.1,46129.6,27.5,Pampeano profundo,17.92,False,False
S0005,35491.7,56744.9,36.3,Pampeano profundo,14.44,False,False
S0006,79051.8,12335.4,40.0,Pampeano profundo,14.75,False,False
S0007,90514.4,77217.4,55.1,Arenas Puelches,17.16,False,False
S0008,17735.3,12437.3,48.5,Pampeano profundo,10.22,False,False
S0009,65278.5,65948.5,34.6,Pampeano profundo,35.67,False,False
S0010,29830.3,733.9,31.2,Pampeano profundo,15.6,False,False
S0011,96696.2,57560.0,52.4,Pampeano profundo,26.31,False,False
S0012,91985.0,24372.5,45.8,Pampeano profundo,16.68,False,False
S0013,63587.1,30274.3,35.7,Pampeano profundo,17.02,False,False
S0014,75273.2,70374.0,41.0,Pampeano profundo,31.51,False,False
S0015,51515.4,31479.4,50.8,Pampeano profundo,14.79,False,False
S0016,82589.5,42715.1,43.0,Pampeano profundo,30.82,False,False
S0017,44838.1,49304.1,41.3,Pampeano profundo,20.78,False,False
S0018,33881.2,927.4,32.1,Pampeano profundo,12.81,False,False
S0019,27789.9,55315.5,47.8,Pampeano profundo,12.99,False,True
S0020,22633.3,75903.6,33.9,Pampeano profundo,12.12,False,False
S0021,52581.7,32136.0,46.8,Pampeano profundo,15.8,False,False
S0022,43091.2,67390.3,44.6,Pampeano profundo,19.58,False,False
S0023,66318.1,18339.9,40.7,Pampeano profundo,13.96,False,False
S0024,1284.0,43682.2,27.5,Pampeano profundo,9.64,False,False
S0025,44770.2,19612.7,41.8,Pampeano profundo,13.47,False,False
S0026,36518.1,16624.4,38.1,Pampeano profundo,13.62,False,False
S0027,19539.8,50943.1,51.9,Pampeano profundo,13.48,False,False
S0028,59486.6,2284.9,34.4,Pampeano profundo,11.26,False,False
S0029,43531.3,79183.5,51.7,Pampeano profundo,14.58,False,False
S0030,29999.2,56090.1,55.5,Arenas Puelches,9.11,False,False
S0031,20941.6,21525.6,47.8,Pampeano profundo,11.1,False,False
S0032,87462.4,48358.1,56.9,Arenas Puelches,27.79,False,False
S0033,79746.2,4399.5,44.0,Pampeano profundo,16.57,False,False
S0034,60671.0,53184.9,50.2,Pampeano profundo,38.97,False,True
S0035,34510.1,67468.8,47.2,Pampeano profundo,14.61,False,False
S0036,94682.0,64625.8,29.6,Pampeano profundo,26.66,False,False
S0037,56337.7,10320.3,40.5,Pampeano profundo,14.5,False,False
S0038,43276.3,11834.4,28.3,Pampeano profundo,13.04,False,False
S0039,90045.0,52656.9,26.1,Pampeano profundo,31.11,False,False
S0040,31934.2,22805.9,41.2,Pampeano profundo,10.04,False,False
S0041,69599.5,74380.1,51.3,Pampeano profundo,24.17,False,False
S0042,31382.0,45676.3,33.5,Pampeano profundo,13.24,False,False
S0043,26155.3,45073.6,47.1,Pampeano profundo,11.48,False,False
S0044,70084.1,60758.2,53.0,Pampeano profundo,39.48,False,False
S0045,22789.2,70620.3,41.7,Pampeano profundo,11.17,False,False
S0046,49311.0,36952.3,37.8,Pampeano profundo,17.54,False,False
S0047,58002.8,44951.1,52.9,Pampeano profundo,27.3,False,False
S0048,18890.6,6209.3,61.3,Arenas Puelches,3.32,False,False
S0049,73124.1,73956.2,22.1,Pampeano somero,31.05,False,False
S0050,54848.3,71553.5,53.2,Pampeano profundo,23.18,False,False
S0051,62150.3,4383.2,31.5,Pampeano profundo,12.9,False,False
S0052,37214.4,28119.3,52.5,Pampeano profundo,13.25,False,False
S0053,42019.3,71432.3,54.9,Pampeano profundo,16.51,False,False
S0054,49483.0,46931.2,39.0,Pampeano profundo,22.39,False,False
S0055,46997.1,25571.6,38.4,Pampeano profundo,12.92,False,False
S0056,67563.9,28256.0,45.8,Pampeano profundo,16.9,False,False
S0057,57717.8,53176.5,46.3,Pampeano profundo,33.24,False,False
S0058,41627.1,55141.3,40.6,Pampeano profundo,20.61,False,False
S0059,180.2,11834.5,51.7,Pampeano profundo,9.26,False,False
S0060,79403.1,35760.1,28.7,Pampeano profundo,25.33,False,True
S0061,51938.4,66780.8,38.2,Pampeano profundo,24.16,False,True
S0062,32654.5,66692.3,49.7,Pampeano profundo,14.52,False,False
S0063,49995.5,55909.4,40.5,Pampeano profundo,25.67,False,False
S0064,9344.6,64672.8,36.1,Pampeano profundo,9.99,False,False
S0065,90470.4,54933.8,45.2,Pampeano profundo,30.97,False,False
S0066,98973.6,66908.1,61.3,Arenas Puelches,17.48,False,False
S0067,5873.5,28447.0,47.0,Pampeano profundo,10.73,False,False
S0068,35823.1,5684.4,26.4,Pampeano profundo,10.1,False,False
S0069,73006.5,7607.1,33.1,Pampeano profundo,14.78,False,False
S0070,31423.8,47486.5,36.8,Pampeano profundo,12.33,False,False
S0071,56705.0,1002.9,43.1,Pampeano profundo,11.95,False,False
S0072,41657.1,67282.1,53.9,Pampeano profundo,16.33,False,False
S0073,77421.2,15184.3,45.9,Pampeano profundo,15.79,False,False
S0074,95846.4,65348.1,65.4,Arenas Puelches,24.36,False,True
S0075,88839.5,28459.6,71.0,Arenas Puelches,12.11,False,False
S0076,62093.5,8527.9,35.0,Pampeano profundo,13.43,False,False
S0077,16027.4,29583.5,42.0,Pampeano profundo,9.32,False,False
S0078,94706.2,727.4,61.8,Arenas Puelches,11.33,False,False
S0079,2363.2,16068.8,41.1,Pampeano profundo,11.61,False,False
S0080,29770.9,11704.3,45.8,Pampeano profundo,9.97,False,False
S0081,28161.3,78052.8,36.0,Pampeano profundo,14.85,False,False
S0082,67182.6,34653.5,39.5,Pampeano profundo,22.55,False,False
S0083,48736.3,43907.4,46.4,Pampeano profundo,20.09,False,False
S0084,9288.9,4482.2,51.2,Pampeano profundo,8.18,False,False
S0085,1285.8,4728.6,25.6,Pampeano profundo,9.9,False,False
S0086,60431.6,48115.9,43.6,Pampeano profundo,33.82,False,False
S0087,49148.3,27028.2,65.6,Arenas Puelches,8.88,False,False
S0088,60138.2,23742.3,43.0,Pampeano profundo,14.68,False,False
S0089,56402.4,13060.7,46.9,Pampeano profundo,12.21,False,False
S0090,89045.9,60659.2,58.4,Arenas Puelches,28.13,False,True
S0091,91839.7,75366.8,56.0,Arenas Puelches,21.97,True,False
S0092,18825.7,29509.4,38.5,Pampeano profundo,10.24,False,False
S0093,94212.1,30097.9,46.8,Pampeano profundo,17.48,False,False
S0094,78772.7,23376.8,65.9,Arenas Puelches,12.04,False,False
S0095,63902.6,13997.3,34.5,Pampeano profundo,14.38,False,False
S0096,65960.7,25158.9,29.8,Pampeano profundo,17.9,False,False
S0097,54606.0,65733.8,58.1,Arenas Puelches,20.16,False,False
S0098,91726.3,6669.8,64.3,Arenas Puelches,10.74,False,False
S0099,23326.3,65575.8,29.4,Pampeano profundo,11.65,False,False
S0100,59931.6,4403.4,56.0,Arenas Puelches,10.12,False,False
S0101,81424.3,43018.4,52.4,Pampeano profundo,32.64,False,False
S0102,13476.1,61321.6,38.6,Pampeano profundo,11.09,False,False
S0103,61550.8,27145.3,47.0,Pampeano profundo,15.17,False,False
S0104,40283.3,70100.6,65.4,Arenas Puelches,15.07,False,False
